year,month,production_kbpd,province,date,treated,line3_post,tmx_post,line3_did,tmx_did,time_trend,pipeline_capacity_instrument,wcs_wti_differential,rail_kbpd,differential_predicted
2021,5,3277.518419354839,Alberta,2021-05-01,1,0,0,0,0,40,0.0,10.39,128.28765769137433,14.090289819580658
2021,6,3520.374433333333,Alberta,2021-06-01,1,0,0,0,0,41,0.0,12.92,132.83216069783936,13.925501847902805
2021,7,3589.1899677419356,Alberta,2021-07-01,1,0,0,0,0,42,0.0,14.03,143.84808869661484,13.76071387622495
2021,8,3531.3300967741934,Alberta,2021-08-01,1,0,0,0,0,43,0.0,13.26,169.6954499146414,13.595925904547094
2021,9,3468.872066666667,Alberta,2021-09-01,1,0,0,0,0,44,0.0,13.63,165.13628467453043,13.431137932869241
2021,10,3760.2455483870967,Alberta,2021-10-01,1,1,0,1,0,45,590.0,12.18,132.66862993682304,18.58334867580063
2021,11,3775.274433333333,Alberta,2021-11-01,1,1,0,1,0,46,590.0,13.9,132.29561389682905,18.418560704122775
2021,12,3577.953548387097,Alberta,2021-12-01,1,1,0,1,0,47,590.0,18.61,132.35692660009502,18.253772732444922
2022,1,3490.137387096774,Alberta,2022-01-01,1,1,0,1,0,48,590.0,17.62,132.4673734484052,18.08898476076707
2022,2,3668.798107142857,Alberta,2022-02-01,1,1,0,1,0,49,590.0,12.54,124.7814226088283,17.924196789089216
2022,3,3661.897419354839,Alberta,2022-03-01,1,1,0,1,0,50,590.0,13.93,151.89390377985305,17.75940881741136
2022,4,3557.1995333333334,Alberta,2022-04-01,1,1,0,1,0,51,590.0,12.72,144.16908899064364,17.594620845733502
2022,5,3389.9376129032257,Alberta,2022-05-01,1,1,0,1,0,52,590.0,12.95,173.12247836699623,17.42983287405565
2022,6,3497.2502000000004,Alberta,2022-06-01,1,1,0,1,0,53,590.0,13.67,170.14669480505245,17.265044902377795
2022,7,3702.824129032258,Alberta,2022-07-01,1,1,0,1,0,54,590.0,21.18,153.19241468486365,17.100256930699942
2022,8,3737.234806451613,Alberta,2022-08-01,1,1,0,1,0,55,590.0,23.22,155.14601977992155,16.93546895902209
2022,9,3786.562966666667,Alberta,2022-09-01,1,1,0,1,0,56,590.0,20.08,127.05991408580645,16.77068098734423
2022,10,3755.3232580645163,Alberta,2022-10-01,1,1,0,1,0,57,590.0,21.17,139.91530067178735,16.605893015666375
2022,11,3870.149566666667,Alberta,2022-11-01,1,1,0,1,0,58,590.0,26.93,121.90652343033888,16.44110504398852
2022,12,3723.47335483871,Alberta,2022-12-01,1,1,0,1,0,59,590.0,29.3,126.19802290824025,16.27631707231067
2023,1,3666.490806451613,Alberta,2023-01-01,1,1,0,1,0,60,590.0,28.18,120.0753439817325,16.111529100632815
2023,2,3772.4998214285715,Alberta,2023-02-01,1,1,0,1,0,61,590.0,25.67,99.38697137107644,15.94674112895496
2023,3,3785.1793225806455,Alberta,2023-03-01,1,1,0,1,0,62,590.0,20.29,97.81704713320886,15.781953157277105
2023,4,3457.7661666666663,Alberta,2023-04-01,1,1,0,1,0,63,590.0,15.97,80.02580923709195,15.617165185599251
2023,5,3358.0649677419356,Alberta,2023-05-01,1,1,0,1,0,64,590.0,15.34,78.74675715326302,15.452377213921396
2023,6,3548.9674333333332,Alberta,2023-06-01,1,1,0,1,0,65,590.0,13.83,74.91017112123855,15.287589242243541
2023,7,3826.803806451613,Alberta,2023-07-01,1,1,0,1,0,66,590.0,11.95,79.8121338080177,15.122801270565688
2023,8,3807.555806451613,Alberta,2023-08-01,1,1,0,1,0,67,590.0,11.26,87.69326518246177,14.958013298887833
2023,9,3803.5867333333335,Alberta,2023-09-01,1,1,0,1,0,68,590.0,15.58,103.04091110770946,14.793225327209978
2023,10,3745.6795806451614,Alberta,2023-10-01,1,1,0,1,0,69,590.0,18.41,110.13172862363476,14.628437355532125
2023,11,4083.9773999999998,Alberta,2023-11-01,1,1,0,1,0,70,590.0,21.08,127.72075829627144,14.46364938385427
2023,12,4114.068709677419,Alberta,2023-12-01,1,1,0,1,0,71,590.0,26.42,119.97237874866373,14.298861412176416
2024,1,3738.2156129032255,Alberta,2024-01-01,1,1,0,1,0,72,590.0,20.38,109.70126532339422,14.134073440498561
2024,2,3878.738551724138,Alberta,2024-02-01,1,1,0,1,0,73,590.0,19.42,90.13676928345465,13.969285468820706
2024,3,3964.48164516129,Alberta,2024-03-01,1,1,0,1,0,74,590.0,20.0,86.76560536972009,13.804497497142853
2024,4,3851.4934,Alberta,2024-04-01,1,1,0,1,0,75,590.0,16.7,96.3229038447579,13.639709525464998
2024,5,3605.913129032258,Alberta,2024-05-01,1,1,1,1,1,76,1180.0,14.43,89.1414046602311,18.79192026839639
2024,6,3807.908433333333,Alberta,2024-06-01,1,1,1,1,1,77,1180.0,12.94,89.2043441504221,18.627132296718536
2024,7,3921.883870967742,Alberta,2024-07-01,1,1,1,1,1,78,1180.0,14.31,83.20120585180774,18.46234432504068
2024,8,3948.7206129032256,Alberta,2024-08-01,1,1,1,1,1,79,1180.0,15.31,79.20019919556852,18.297556353362822
2024,9,3725.7165,Alberta,2024-09-01,1,1,1,1,1,80,1180.0,14.34,85.867395207831,18.13276838168497
2024,10,4042.8085161290323,Alberta,2024-10-01,1,1,1,1,1,81,1180.0,14.13,85.27930447489358,17.967980410007115
2024,11,4096.4266,Alberta,2024-11-01,1,1,1,1,1,82,1180.0,12.39,94.18776946362598,17.803192438329262
2024,12,4162.558193548387,Alberta,2024-12-01,1,1,1,1,1,83,1180.0,12.36,75.41230581637035,17.63840446665141
